,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
335,BAZA3,37.99,3.55,0.51,0.0,0.0943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438,115981.0,2205750000.0,0.0,-0.079,0.0
336,BNBR3,76.01,4.96,1.11,0.0,0.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,101484.0,5888600000.0,0.0,0.1232,0.0
337,BRSR6,13.36,5.12,0.66,0.0,0.051500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298,30582600.0,8217060000.0,0.0,0.0727,0.0
338,BRSR3,14.96,5.74,0.74,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298,312179.0,8217060000.0,0.0,0.0727,0.0
339,BBAS3,32.45,5.77,0.89,0.0,0.056600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1536,563712000.0,105007000000.0,0.0,-0.0318,0.0
340,BMEB4,15.8,5.79,0.87,0.0,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,229007.0,955021000.0,0.0,0.0684,0.0
341,BGIP4,27.23,6.14,0.85,0.0,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379,73601.6,491540000.0,0.0,0.1276,0.0
342,BMEB3,16.96,6.22,0.93,0.0,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,37070.3,955021000.0,0.0,0.0684,0.0
343,ABCB4,13.54,7.06,0.72,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,11551200.0,4093300000.0,0.0,0.0277,0.0
344,BSLI4,92.01,7.29,1.8,0.0,0.062400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2462,423.3,1860250000.0,0.0,0.2211,0.0
