,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
129,TGMA3,24.93,10.99,2.79,14.58,0.0458,1.576,6.82,12.42,29.37,12.7,10.68,0.1174,0.1327,1.9,0.179,0.2538,16279100.0,590088000.0,0.55,0.0583,0.1174
130,LUXM4,45.98,16.62,2.21,20.73,0.1321,1.318,7.5,14.66,-18.2,15.57,7.68,0.1414,0.1247,2.12,0.0988,0.1333,106395.0,107865000.0,0.27,0.0887,0.1414
131,JSLG3,32.1,27.82,4.75,6.92,0.0076,0.295,0.92,7.77,-0.77,18.16,8.17,0.089,0.0267,2.69,0.0676,0.1709,31496100.0,1402480000.0,12.25,0.1109,0.089
132,CCRO3,13.3,30.52,3.26,26.05,0.057300000000000004,0.769,32.63,9.69,-1.46,14.92,8.42,0.2688,0.0791,1.11,0.0982,0.1069,99057400.0,8233370000.0,2.52,0.0203,0.2688
133,WSON33,39.44,48.46,1.23,17.24,0.028999999999999998,0.522,9.03,4.39,-1.27,7.5,7.5,0.393,0.0385,1.55,0.1378,0.0253,1055460.0,2290150000.0,1.09,0.0008,0.393
134,RLOG3,21.11,50.66,4.05,14.02,0.0,0.233,3.93,4.81,-0.38,10.91,5.91,0.2914,0.0999,1.52,0.0567,0.0799,22823500.0,2416520000.0,7.4,0.0927,0.2914
135,RAIL3,22.3,59.14,4.87,59.25,0.0,0.986,16.62,20.68,-1.6,26.89,14.45,0.2865,0.1007,1.52,0.0557,0.0823,202161000.0,8490350000.0,2.11,0.1359,0.2865
136,CAML3,12.45,-346.17,1.78,19.39,0.013500000000000002,0.629,2.35,30.36,11.96,38.83,38.83,0.0639,-0.0056,1.62,0.0353,-0.0051,16450500.0,2587190000.0,1.21,-0.196,0.0639
137,BSEV3,4.04,-2.66,-4.07,6.31,0.0,0.307,-0.64,13.62,-0.46,33.75,4.64,0.0463,-0.2373,0.46,0.0265,1.5314,512777.0,-1012830000.0,-7.23,-0.0001,0.0463
138,MNPR3,5.56,-2.13,-0.11,1.64,0.0,0.181,-0.1,0.8,-0.08,0.79,0.71,0.2043,-0.0769,0.17,0.2363,0.0494,120870.0,-375728000.0,0.0,0.0346,0.2043
139,MRFG3,18.07,8.11,35.0,2.17,0.0,0.35,3.09,1.8,-0.68,4.33,3.67,0.1203,0.0541,1.37,0.2739,4.3139,219995000.0,367249000.0,71.38,0.3862,0.1203
140,BEEF3,13.52,9.6,7.85,3.67,0.0,0.388,1.15,3.8,-1.38,6.94,5.94,0.0964,0.0382,2.01,0.1981,0.8178,101613000.0,838217000.0,14.62,0.1926,0.0964
141,JOPA3,27.0,10.53,0.55,2.21,0.0106,0.148,0.54,3.21,18.45,9.9,8.38,0.0687,0.027,1.73,0.0594,0.0523,746.56,518604000.0,1.89,0.0378,0.0687
142,JOPA4,28.0,10.92,0.57,2.29,0.0113,0.154,0.56,3.33,19.13,10.02,8.48,0.0687,0.027,1.73,0.0594,0.0523,1887.28,518604000.0,1.89,0.0378,0.0687
143,SMTO3,24.08,12.85,2.51,21.51,0.022400000000000003,0.715,5.35,9.28,-1.7,14.28,5.83,0.2318,0.1674,1.83,0.0918,0.1955,41507400.0,3392610000.0,1.84,0.1116,0.2318
144,BRFS3,19.6,12.91,2.34,4.45,0.0,0.326,3.58,5.56,-0.78,10.75,5.94,0.08,0.035,1.26,0.0928,0.1816,251610000.0,6793900000.0,3.66,0.0001,0.08
145,MDIA3,35.74,17.59,1.94,17.91,0.006999999999999999,1.283,8.54,18.03,23.31,18.62,13.6,0.0993,0.1018,1.61,0.0868,0.1105,38253100.0,6234010000.0,0.29,0.0786,0.0993
146,BAUH4,89.94,31.99,6.18,25.82,0.0095,3.711,21.24,29.23,25.76,27.03,20.82,0.0883,0.0807,1.47,0.248,0.1933,39684.8,75956000.0,0.0,0.1179,0.0883
147,CSAN3,82.85,37.31,3.02,48.26,0.0181,0.984,7.0,19.58,-2.66,25.74,25.74,0.2464,0.1029,1.97,0.0595,0.0809,144131000.0,10820800000.0,1.26,-0.0132,0.2464
148,JBSS3,23.35,261.17,1.73,2.67,0.023700000000000002,0.384,2.24,3.33,-1.03,6.25,4.56,0.08,0.0018,1.8,0.1557,0.0066,399055000.0,36011800000.0,2.14,0.0739,0.08
149,ABEV3,12.7,22.41,2.7,38.41,0.038599999999999995,1.646,28.43,15.11,-20.83,14.3,10.46,0.2542,0.1788,1.24,0.1463,0.1206,470605000.0,73922800000.0,0.09,0.0305,0.2542
150,NTCO3,49.14,-58.39,2.65,21.25,0.0,1.007,14.65,34.44,-2.96,41.87,41.87,0.0617,-0.0367,1.33,0.0372,-0.0453,298511000.0,23245600000.0,0.89,0.0,0.0617
151,ADHM3,2.2,-5.76,-1.81,0.010872,0.0,148.255,-2.02,-8.02,-1.79,-8.02,-8.19,-135.485,-188.606,0.0,5.217,0.3147,61713.2,-19776000.0,0.0,0.4348,-135.485
152,BOBR4,2.13,38.9,-2.18,5.23,0.0,0.795,-2.95,4.94,-0.86,7.06,5.88,0.1058,0.0134,0.62,0.2198,-0.056,336104.0,-254612000.0,-1.04,-0.0026,0.1058
153,DASA3,70.0,-169.78,8.69,67.5,0.0053,2.725,22.8,678.21,-7.05,742.16,55.94,0.01,-0.0391,1.66,0.0049,-0.0512,6534.56,3872410000.0,1.27,0.1433,0.01
154,AALR3,12.3,-17.22,1.23,15.91,0.0070999999999999995,0.556,-14.89,-598.28,-1.89,-835.29,17.5,-0.0027,-0.0857,0.87,-0.0011,-0.0716,10857800.0,1179760000.0,0.76,-0.0397,-0.0027
155,BIOM3,16.18,-16.21,8.15,382.02,0.0,2.765,16.52,-21.72,-8.31,-24.32,-26.59,-1.7585,-2.3565,2.04,-0.1606,-0.5027,521670.0,120695000.0,1.53,13.1278,-1.7585
156,GBIO33,10.38,-14.94,1.32,15.15,0.0,0.79,7.56,13.51,17.54,16.04,16.04,0.1121,-0.1014,1.31,0.0712,-0.0883,6341830.0,838439000.0,0.31,-0.0899,0.1121
157,DMVF3,12.0,0.0,1.35,0.0,0.0,0.503,-4.13,0.0,-1.38,0.0,0.0,0.0,0.0,0.69,0.0,0.0,5442490.0,449022000.0,0.76,0.0,0.0
158,ODPV3,13.1,21.97,5.72,38.76,0.0319,3.534,15.34,13.13,24.41,11.66,11.18,0.2951,0.1754,1.78,0.4542,0.2602,27717500.0,1217410000.0,0.0,0.0881,0.2951
159,QUAL3,29.9,22.21,5.18,41.93,0.1166,2.385,11.86,11.16,-11.43,11.83,7.82,0.3757,0.1892,2.55,0.3044,0.233,124563000.0,1640420000.0,0.81,0.0121,0.3757
160,PARD3,25.24,29.95,4.62,26.67,0.0095,1.772,13.14,20.89,-7.04,21.76,13.51,0.1277,0.0891,1.59,0.1096,0.1543,20920600.0,715237000.0,0.6,0.0743,0.1277
161,OFSA3,29.07,31.19,3.04,24.69,0.0006,1.697,7.19,19.35,20.16,21.7,16.46,0.1276,0.0791,1.82,0.1069,0.0974,480010.0,515951000.0,0.63,0.0643,0.1276
162,HAPV3,62.43,53.65,6.02,63.92,0.0028000000000000004,3.501,39.67,36.7,-20.5,36.48,26.83,0.1742,0.1194,1.55,0.1174,0.1122,112437000.0,7702680000.0,0.27,0.4783,0.1742
163,FLRY3,25.12,60.14,5.15,30.14,0.029300000000000003,1.475,11.0,24.77,-3.72,27.37,13.63,0.1217,0.0501,1.73,0.0774,0.0856,56119600.0,1549450000.0,1.24,0.0795,0.1217
164,GNDI3,72.88,71.53,6.49,45.64,0.0023,3.076,74.16,34.14,-11.18,34.1,27.66,0.1337,0.0638,1.2,0.1059,0.0908,219326000.0,6775330000.0,0.29,0.3539,0.1337
165,CRFB3,19.2,18.02,2.62,5.97,0.013000000000000001,0.842,13.79,9.45,-5.05,10.24,8.04,0.0632,0.0376,1.14,0.1269,0.1452,131685000.0,14562000000.0,0.52,0.1114,0.0632
166,PNVL4,19.93,38.76,5.65,10.86,0.0052,1.901,8.51,26.16,-33.4,30.32,16.34,0.0415,0.028,1.58,0.1025,0.1458,792112.0,534292000.0,1.16,0.0799,0.0415
167,PFRM3,5.36,42.32,0.66,1.27,0.0,0.195,1.48,3.63,-3.88,6.72,3.89,0.035,0.003,1.25,0.0857,0.0157,7506620.0,1001000000.0,0.95,0.0744,0.035
168,PCAR3,64.73,42.57,1.38,2.44,0.009000000000000001,0.275,-39.57,3.6,-0.66,5.66,3.97,0.0676,0.0069,0.98,0.1117,0.0325,132890000.0,12566000000.0,1.4,0.0661,0.0676
169,PNVL3,22.71,44.16,6.44,12.38,0.0042,2.166,9.69,29.81,-38.06,33.97,18.31,0.0415,0.028,1.58,0.1025,0.1458,19055300.0,534292000.0,1.16,0.0799,0.0415
170,RADL3,107.94,50.0,8.78,18.96,0.0060999999999999995,2.796,16.78,40.67,-14.28,42.33,19.31,0.0466,0.0387,1.53,0.0855,0.1755,159632000.0,4063700000.0,0.43,0.1639,0.0466
171,MNDL3,26.0,-5.14,-0.44,1.35,0.0,0.061,-0.1,2.1,-0.07,8.0,5.6,0.0645,-0.0263,0.29,0.0315,0.0858,76070.8,-146315000.0,-1.28,0.0416,0.0645
172,ECPR3,77.0,-2.21,0.9,0.0,0.0,0.519,0.0,-80.83,0.0,-80.11,-80.28,0.0,0.0,0.0,0.0,-0.4074,360.44,162201000.0,0.0,0.0,0.0
173,CEDO3,11.0,-1.8,0.82,1.82,0.0,0.166,-2.57,10.68,-0.42,30.23,10.49,0.017,-0.1082,0.85,0.019,-0.4561,11793.7,133686000.0,1.75,0.0968,0.017
174,CTNM3,10.91,-1.37,0.37,1.83,0.0,0.079,1.31,-27.2,-0.31,-135.12,19.52,-0.0067,-0.2178,1.2,-0.0032,-0.2665,27300.9,912647000.0,1.69,-0.1124,-0.0067
175,SGPS3,7.1,-1.0,0.3,2.69,0.0,0.113,1.73,6.36,-0.43,19.97,7.95,0.0423,-0.2697,1.21,0.02,-0.3043,1803540.0,1169340000.0,0.84,-0.1781,0.0423
176,CEDO4,5.96,-0.98,0.45,0.98,0.0,0.09,-1.39,5.79,-0.23,25.33,8.79,0.017,-0.1082,0.85,0.019,-0.4561,14959.9,133686000.0,1.75,0.0968,0.017
177,CTNM4,6.03,-0.76,0.2,1.01,0.0,0.043,0.72,-15.03,-0.17,-122.95,17.77,-0.0067,-0.2178,1.2,-0.0032,-0.2665,170250.0,912647000.0,1.69,-0.1124,-0.0067
178,TECN3,1.04,-0.63,0.25,2.77,0.0,0.12,0.38,-1.96,3.4,-3.99,-3.08,-0.1414,-0.441,2.36,-0.076,-0.3981,1098980.0,326951000.0,0.42,-0.066,-0.1414
179,TEKA3,32.5,-0.13,-0.01,1.13,0.0,0.017,-0.01,-1.47,-0.01,-43.83,-78.54,-0.0764,-0.8784,0.02,-0.0183,0.0798,44575.3,-1596710000.0,-0.29,-0.0072,-0.0764
180,TEKA4,10.71,-0.04,0.0,0.37,0.0,0.006,0.0,-0.49,0.0,-42.84,-76.77,-0.0764,-0.8784,0.02,-0.0183,0.0798,137798.0,-1596710000.0,-0.29,-0.0072,-0.0764
181,TXRX4,10.74,1.71,-0.15,12.01,0.0,0.244,-0.17,8.03,-0.11,44.76,44.76,0.1494,0.7035,0.19,0.0473,-0.0901,300468.0,-297411000.0,-0.7,-0.1285,0.1494
182,CTKA4,12.24,3.52,-0.29,2.17,0.0,0.195,0.69,2.08,-0.18,15.61,11.54,0.1043,0.0616,1.86,0.1126,-0.0833,70654.7,-258706000.0,-2.04,0.0468,0.1043
183,CTKA3,15.3,4.41,-0.37,2.72,0.0,0.244,0.86,2.6,-0.23,16.13,11.93,0.1043,0.0616,1.86,0.1126,-0.0833,26969.7,-258706000.0,-2.04,0.0468,0.1043
184,PTNT4,5.0,10.97,0.95,4.19,0.014499999999999999,0.346,4.21,9.31,-5.31,13.77,6.76,0.045,0.0658,1.2,0.0476,0.0868,136597.0,252196000.0,0.76,0.0375,0.045
185,HGTX3,17.9,11.22,1.94,24.12,0.0252,1.411,3.57,38.43,3.84,35.07,16.0,0.0628,0.2149,2.6,0.053,0.173,66316400.0,1498030000.0,0.17,-0.0463,0.0628
186,TXRX3,80.9,12.85,-1.16,90.43,0.0,1.842,-1.29,60.51,-0.82,97.24,97.24,0.1494,0.7035,0.19,0.0473,-0.0901,6919.02,-297411000.0,-0.7,-0.1285,0.1494
187,PTNT3,8.39,18.41,1.6,7.02,0.0087,0.581,7.06,15.62,-8.92,20.08,9.86,0.045,0.0658,1.2,0.0476,0.0868,39453.1,252196000.0,0.76,0.0375,0.045
188,GRND3,7.74,19.27,1.96,41.64,0.032,1.79,3.61,25.47,3.79,21.61,16.04,0.1635,0.2161,8.69,0.1051,0.1018,12906600.0,3558780000.0,0.06,-0.0482,0.1635
189,DOHL4,5.17,20.57,0.67,8.58,0.022099999999999998,0.528,1.35,91.91,2.06,76.57,17.16,0.0093,0.0417,5.87,0.0067,0.0326,137216.0,582769000.0,0.04,0.0284,0.0093
190,VIVA3,22.83,36.05,4.99,54.39,0.0068000000000000005,2.909,7.33,31.2,11.51,29.67,29.67,0.1743,0.1508,2.45,0.1382,0.1385,34710100.0,1079630000.0,0.3,0.0,0.1743
191,DOHL3,15.0,59.67,1.95,24.91,0.0069,1.531,3.93,266.67,5.97,251.33,56.33,0.0093,0.0417,5.87,0.0067,0.0326,13898.0,582769000.0,0.04,0.0284,0.0093
192,VULC3,5.93,71.05,1.42,13.61,0.0,0.972,2.04,21.5,3.07,20.85,9.38,0.0633,0.0191,4.08,0.0592,0.0199,5923500.0,1029360000.0,0.27,0.0143,0.0633
193,ALPA3,32.32,71.49,6.66,59.28,0.0016,2.857,11.67,39.28,30.0,38.99,29.3,0.1509,0.0786,1.6,0.1292,0.0932,79641.1,2852200000.0,0.88,-0.0442,0.1509
194,ALPA4,34.75,76.87,7.16,63.74,0.0016,3.072,12.55,42.24,32.26,41.94,31.52,0.1509,0.0786,1.6,0.1292,0.0932,59215500.0,2852200000.0,0.88,-0.0442,0.1509
195,CAMB3,4.33,78.51,2.82,10.47,0.0,0.834,253.54,19.61,-2.65,24.88,14.52,0.0534,0.0134,1.01,0.048,0.0359,796063.0,64625000.0,0.9,-0.0979,0.0534
196,CTSA4,2.45,109.38,0.96,6.24,0.0048,0.43,14.52,9.15,-3.9,16.95,16.97,0.0682,0.0057,1.07,0.0522,0.0088,118042.0,283521000.0,0.86,0.0743,0.0682
197,CTSA3,2.83,126.34,1.11,7.21,0.0038,0.496,16.77,10.57,-4.5,18.37,18.39,0.0682,0.0057,1.07,0.0522,0.0088,181928.0,283521000.0,0.86,0.0743,0.0682
198,IGBR3,3.35,-35.96,-0.05,167.9,0.0,0.168,-0.47,-25.81,-0.04,-610.1,-610.1,-0.6505,-0.4669,0.03,-0.0071,0.0013,5060.43,-912514000.0,-1.04,-0.2648,-0.6505
199,SPRI6,12.0,-1.83,1.35,0.0,0.0,1.305,0.0,-3.5,0.0,-3.15,-3.18,0.0,0.0,0.0,0.0,-0.7382,3367.51,22420000.0,0.0,-0.0733,0.0
200,SPRI3,11.05,-1.69,1.25,0.0,0.0,1.202,0.0,-3.23,0.0,-2.87,-2.9,0.0,0.0,0.0,0.0,-0.7382,2192.36,22420000.0,0.0,-0.0733,0.0
201,SPRI5,9.12,-1.39,1.03,0.0,0.0,0.992,0.0,-2.66,0.0,-2.31,-2.33,0.0,0.0,0.0,0.0,-0.7382,4287.35,22420000.0,0.0,-0.0733,0.0
202,HETA4,8.38,1.19,-0.01,36.53,0.0,0.421,-0.11,4.88,-0.01,375.41,375.41,0.7487,3.065,0.01,0.0875,-0.0094,2967.54,-382871000.0,-0.85,-0.1765,0.7487
203,WHRL3,7.15,7.58,5.83,13.45,0.1353,1.887,12.46,24.4,25.1,21.95,16.37,0.0551,0.1775,1.25,0.1962,0.7696,12.04,1841660000.0,0.11,-0.0648,0.0551
204,WHRL4,7.25,7.69,5.92,13.64,0.14679999999999999,1.913,12.63,24.74,25.45,22.29,16.62,0.0551,0.1775,1.25,0.1962,0.7696,4405.86,1841660000.0,0.11,-0.0648,0.0551
205,UCAS3,4.24,25.2,1.75,20.08,0.1476,1.356,3.98,33.13,4.59,28.94,14.19,0.0606,0.0797,2.91,0.0506,0.0693,8007.09,160532000.0,0.0,-0.0841,0.0606
206,SLED3,1.07,-0.15,-0.17,1.14,0.0,0.098,-0.89,-0.47,-0.08,-3.1,-8.39,-0.2454,-0.7424,0.75,-0.2821,1.0934,1611.75,-321432000.0,-1.06,-0.2713,-0.2454
207,SLED4,0.58,-0.08,-0.09,0.62,0.0,0.053,-0.48,-0.25,-0.04,-2.89,-7.81,-0.2454,-0.7424,0.75,-0.2821,1.0934,7673.11,-321432000.0,-1.06,-0.2713,-0.2454
208,MEAL3,3.83,-20.32,0.89,6.82,0.0,0.394,-3.1,-68.28,-1.06,-85.51,24.79,-0.01,-0.0336,0.59,-0.0069,-0.0439,65285500.0,1230240000.0,0.45,0.0126,-0.01
209,BKBR3,11.11,-12.9,1.63,10.27,0.0046,0.716,24.96,-17.73,-2.17,-20.21,16.65,-0.0579,-0.0796,1.14,-0.0508,-0.1266,21487000.0,1550950000.0,0.6,0.1152,-0.0579
210,HOOT4,2.72,-0.28,-0.12,7.01,0.0,0.106,-0.09,-0.34,-0.06,-0.33,-0.36,-2.0786,-2.49,0.04,-0.3244,0.4294,19387.9,-413079000.0,0.0,-0.1917,-2.0786
211,SHOW3,2.57,-3.01,0.67,9.85,0.0,0.277,1.61,-6.07,-12.01,-4.07,-13.97,-0.1623,-0.3356,1.44,-0.0756,-0.2231,2362830.0,257677000.0,0.62,-0.2688,-0.1623
212,ESTR4,27.99,-0.7,-0.05,2.12,0.0,0.108,-0.05,-2.46,-0.04,-6.79,-11.36,-0.0864,-0.3023,0.16,-0.0496,0.0665,19156.4,-484249000.0,-0.08,-0.0925,-0.0864
213,CVCB3,18.87,11.67,2.06,14.24,0.022099999999999998,0.407,1.69,4.0,-5.46,5.6,4.68,0.3563,0.1156,1.49,0.1221,0.1762,114294000.0,1370930000.0,1.13,0.2278,0.3563
214,BMKS3,228.5,26.85,0.57,63.66,0.026600000000000002,0.493,0.65,-17.97,0.74,7.03,11.71,-0.3541,0.2371,21.37,-0.1,0.0211,75788.3,183806000.0,0.04,-0.041,-0.3541
215,ANIM3,28.59,-78.19,1.92,24.28,0.0,0.922,3.41,17.87,-6.66,20.16,11.42,0.1358,-0.0307,3.44,0.0682,-0.0245,14362300.0,1655070000.0,0.72,0.091,0.1358
216,COGN3,6.06,-17.72,0.64,17.64,0.0007000000000000001,0.315,2.83,29.22,-1.03,52.33,14.94,0.0604,-0.0989,2.25,0.0122,-0.036,724860000.0,17846000000.0,0.71,0.0651,0.0604
217,SMLS3,14.32,4.62,1.41,23.38,0.07719999999999999,0.553,1.83,4.04,3.69,0.66,0.62,0.5785,0.5063,1.66,0.2696,0.3051,28335500.0,1261850000.0,0.0,-0.2534,0.5785
218,YDUQ3,29.95,16.15,2.83,26.04,0.017,1.212,3.93,11.03,-9.0,12.17,8.51,0.2359,0.1612,3.41,0.1705,0.175,99199100.0,3275420000.0,1.07,0.0463,0.2359
219,SEER3,14.73,20.44,1.39,14.69,0.0032,0.627,2.46,8.02,-3.56,7.73,4.63,0.1831,0.0719,3.12,0.1034,0.0682,21656100.0,1359600000.0,0.46,0.0466,0.1831
220,LCAM3,20.18,41.48,2.6,21.71,0.0219,0.907,11.31,16.74,-2.37,22.36,11.88,0.1297,0.0524,1.43,0.0764,0.0628,57705700.0,3943290000.0,1.33,0.6971,0.1297
221,RENT3,48.42,48.71,6.72,37.74,0.0076,1.927,15.54,27.7,-4.02,33.78,20.87,0.1362,0.0775,2.13,0.0867,0.138,337975000.0,5461000000.0,2.05,0.2675,0.1362
222,MOVI3,16.34,149.87,2.24,11.84,0.018000000000000002,0.655,10.96,9.47,-1.84,13.39,7.72,0.125,0.0079,1.2,0.1142,0.015,51043400.0,2179270000.0,1.71,0.2529,0.125
223,BTOW3,111.0,-248.91,10.46,71.57,0.0,3.542,11.44,252.6,-49.49,253.42,73.41,0.0283,-0.0288,2.1,0.0337,-0.042,360367000.0,5570280000.0,1.22,-0.036,0.0283
224,CEAB3,11.45,-67.02,1.37,8.31,0.0001,0.543,2.64,66.01,-3.22,96.9,9.38,0.0126,-0.0124,1.9,0.0111,-0.0204,35657700.0,2578030000.0,1.13,0.0,0.0126
225,VVAR3,20.29,-27.96,6.42,13.0,0.0,1.118,13.49,29.11,-4.32,32.35,17.58,0.0447,-0.0465,1.17,0.0586,-0.2296,1722460000.0,5049000000.0,1.65,0.0745,0.0447
226,AMAR3,8.3,-5.98,1.88,8.92,0.0,0.69,4.34,12.87,-4.35,19.18,6.73,0.0693,-0.1763,1.51,0.0634,-0.3145,45980000.0,1153730000.0,1.19,-0.0466,0.0693
227,LLIS3,5.81,-1.05,0.55,5.61,0.0,0.156,-0.81,-1.22,-0.33,-5.76,3.6,-0.4604,-2.4797,0.56,-0.1397,-0.5195,1716080.0,733301000.0,2.14,-0.0975,-0.4604
228,SOMA3,10.93,0.0,12.36,0.0,0.0,3.935,69.96,0.0,-29.34,0.0,0.0,0.0,0.0,1.11,0.0,0.0,17249000.0,421946000.0,1.11,0.0,0.0
229,LJQQ3,13.62,0.0,17.02,0.0,0.0,1.499,6.38,0.0,-6.33,0.0,0.0,0.0,0.0,1.53,0.0,0.0,22467600.0,148575000.0,2.8,0.0,0.0
230,CGRA3,26.99,4.18,0.89,12.12,0.0649,0.641,2.71,14.09,4.85,11.1,5.93,0.086,0.2902,2.32,0.0567,0.214,54489.2,606987000.0,0.0,0.0394,0.086
231,CGRA4,27.74,4.29,0.92,12.45,0.06309999999999999,0.658,2.78,14.48,4.98,11.49,6.14,0.086,0.2902,2.32,0.0567,0.214,271849.0,606987000.0,0.0,0.0394,0.086
232,HYPE3,32.5,18.02,2.27,54.03,0.0353,1.314,3.41,23.8,13.7,23.37,20.49,0.227,0.2999,3.93,0.0844,0.126,139878000.0,9055200000.0,0.53,0.1143,0.227
233,CNTO3,29.16,32.02,3.61,25.52,0.0,1.499,5.57,-110.51,-9.89,-114.4,45.15,-0.0231,0.0795,2.64,-0.0209,0.1128,62269700.0,1952580000.0,0.79,0.0,-0.0231
234,LREN3,43.0,36.09,7.3,35.79,0.0074,2.914,19.06,14.34,-75.15,14.67,11.16,0.2495,0.0992,1.37,0.2607,0.2022,326617000.0,4688160000.0,0.54,0.1199,0.2495
235,GUAR3,17.72,53.72,1.8,12.94,0.0286,0.731,5.06,136.99,-21.72,161.99,18.24,0.0094,0.0241,1.35,0.0067,0.0336,20552100.0,4906450000.0,0.81,0.0546,0.0094
236,LAME3,27.4,86.92,9.47,25.94,0.005699999999999999,1.456,5.16,23.92,-7.25,27.51,16.33,0.1084,0.0252,1.93,0.1245,0.1089,73407800.0,5403890000.0,3.83,0.0211,0.1084
237,LAME4,32.12,101.9,11.1,30.41,0.0049,1.707,6.05,28.04,-8.5,31.63,18.78,0.1084,0.0252,1.93,0.1245,0.1089,403987000.0,5403890000.0,3.83,0.0211,0.1084
238,ARZZ3,54.17,117.26,7.36,34.25,0.0066,2.847,7.04,251.54,22.85,253.37,48.3,0.0136,0.0292,2.21,0.0189,0.0628,35244300.0,669467000.0,0.9,0.0659,0.0136
239,MGLU3,90.15,396.55,19.68,66.42,0.0022,7.124,39.49,241.68,893.24,239.51,117.12,0.0275,0.0167,1.39,0.0495,0.0496,951365000.0,7443840000.0,0.22,0.2527,0.0275
240,POSI3,4.97,118.6,0.8,3.9,0.006500000000000001,0.296,1.12,20.23,1.77,28.07,12.38,0.0193,0.0056,1.5,0.0233,0.0068,20438900.0,878421000.0,0.92,0.007,0.0193
