,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
307,TIET3,301,1513.0,386.0,2970.0,"7,83%",708,-6502.0,734,-135.0,1061,765,"40,48%","19,63%",96,"15,90%","25,50%",1.352.61000,1.556.800.00000,304,"9,11%"
308,GEPA4,4585,1522.0,246.0,3053.0,"7,23%",956,-1621.0,826,-335.0,830,585,"36,95%","20,06%",85,"24,01%","16,16%",37.13650,1.760.330.00000,72,"1,77%"
309,COCE3,7902,1603.0,196.0,1091.0,"2,69%",648,-4007.0,1096,-173.0,1545,1013,"9,95%","6,80%",95,"6,67%","12,21%",19.60130,3.142.550.00000,91,"9,57%"
310,ENGI4,785,1693.0,233.0,726.0,"1,53%",339,2164.0,636,-60.0,1319,861,"11,41%","4,59%",106,"6,12%","13,74%",209.38000,6.121.330.00000,312,"14,36%"
311,ENGI11,4435,1913.0,263.0,820.0,"1,35%",383,2445.0,719,-67.0,1401,915,"11,41%","4,59%",106,"6,12%","13,74%",84.277.00000,6.121.330.00000,312,"14,36%"
312,ENEV3,5002,2191.0,219.0,4608.0,"0,00%",1041,1060.0,1609,-329.0,2052,1353,"28,64%","20,98%",190,"7,97%","9,97%",73.031.90000,7.227.790.00000,93,"18,61%"
313,EQPA7,575,2197.0,378.0,2273.0,"2,61%",1106,482.0,978,-329.0,1143,915,"23,24%","10,35%",261,"14,31%","17,23%",8.04391,3.356.070.00000,120,"7,41%"
314,EQPA5,580,2216.0,382.0,2293.0,"2,07%",1116,486.0,987,-332.0,1151,922,"23,24%","10,35%",261,"14,31%","17,23%",5.79388,3.356.070.00000,120,"7,41%"
315,AFLT3,1019,2705.0,285.0,16716.0,"6,42%",2716,770.0,2742,842.0,2473,2473,"60,95%","61,79%",2069,"13,65%","10,55%",35.49340,225.320.00000,0,"10,70%"
316,ENGI3,1325,2858.0,393.0,1226.0,"0,91%",572,3653.0,1074,-100.0,1756,1147,"11,41%","4,59%",106,"6,12%","13,74%",151.67400,6.121.330.00000,312,"14,36%"
317,LIPR3,8499,3106.0,504.0,0.0,"0,00%",4373,0.0,5849,0.0,5321,5321,"0,00%","0,00%",0,"0,00%","16,23%",32.17030,198.348.00000,0,"0,00%"
318,EQPA6,1068,4081.0,703.0,4223.0,"0,75%",2054,896.0,1817,-612.0,1982,1587,"23,24%","10,35%",261,"14,31%","17,23%",2484,3.356.070.00000,120,"7,41%"
319,REDE3,1045,4380.0,596.0,2034.0,"1,23%",1052,1730.0,1480,-229.0,1943,1364,"13,74%","6,50%",125,"8,30%","13,60%",17.14200,3.702.250.00000,245,"9,18%"
320,CPRE3,1823,6096.0,213.0,5011.0,"0,00%",804,-7071.0,1346,-166.0,1772,923,"37,22%","8,77%",92,"6,61%","3,49%",83902,4.467.110.00000,91,"5,64%"
321,OMGE3,3921,27145.0,2.4418900000000003,8249.0,"0,00%",870216,11.4492,2319,-1.70508,2320,1673,"35,57%","3,63%",247,"4.178,63%","899,57%",36.858.50000,2.731.86000,161,"58,17%"
322,AMBP3,2971,0.0,1442.0,0.0,"0,00%",3556,1429.0,0,-1291.0,0,0,"0,00%","0,00%",221,"0,00%","0,00%",22.774.30000,232.724.00000,229,"0,00%"
323,SAPR4,559,722.0,130.0,1717.0,"3,75%",659,2411.0,426,-185.0,566,481,"40,33%","23,78%",125,"16,91%","18,03%",19.160.60000,6.489.710.00000,56,"10,41%"
324,SAPR11,2850,736.0,133.0,1750.0,"3,61%",672,2458.0,434,-189.0,574,488,"40,33%","23,78%",125,"16,91%","18,03%",74.641.70000,6.489.710.00000,56,"10,41%"
325,SAPR3,575,742.0,134.0,1766.0,"3,31%",678,2480.0,438,-191.0,578,492,"40,33%","23,78%",125,"16,91%","18,03%",2.076.17000,6.489.710.00000,56,"10,41%"
326,CSMG3,5020,842.0,91.0,1207.0,"3,56%",536,672.0,497,-234.0,682,457,"24,29%","14,33%",177,"11,91%","10,85%",54.165.30000,6.968.270.00000,47,"7,60%"
327,SBSP3,5021,1728.0,161.0,1847.0,"2,74%",704,-4904.0,585,-160.0,807,607,"31,58%","10,69%",90,"13,05%","9,34%",222.891.00000,21.275.000.00000,77,"8,92%"
328,CASN3,1270,8700.0,702.0,7944.0,"0,33%",2455,7736.0,3190,-487.0,3631,2703,"24,91%","9,13%",128,"8,24%","8,07%",2953,1.294.270.00000,113,"8,12%"
329,CGAS3,17635,1741.0,2532.0,2645.0,"15,36%",2079,2066.0,1103,-449.0,1336,1150,"23,98%","15,19%",128,"27,70%","145,48%",23.5078,922.921.00000,795,"11,83%"
330,CGAS5,18838,1859.0,2705.0,2825.0,"15,22%",2220,2206.0,1178,-480.0,1412,1214,"23,98%","15,19%",128,"27,70%","145,48%",552.92,922.921.00000,795,"11,83%"
331,PINE4,291,-923.0,51.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","-5,52%",920.12400,845.022.00000,0,"-5,08%"
332,IDVL3,256,-176.0,77.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","-43,75%",259.31500,288.842.00000,0,"0,00%"
333,IDVL4,256,-176.0,77.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","-43,75%",42.75040,288.842.00000,0,"0,00%"
334,BMGB4,512,0.0,75.0,0.0,"4,13%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","0,00%",6.600.89000,4.036.350.00000,0,"0,00%"
335,BAZA3,3799,355.0,51.0,0.0,"9,43%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","14,38%",115.98100,2.205.750.00000,0,"-7,90%"
336,BNBR3,7601,496.0,111.0,0.0,"3,58%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","22,49%",101.48400,5.888.600.00000,0,"12,32%"
337,BRSR6,1336,512.0,66.0,0.0,"5,15%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","12,98%",30.582.60000,8.217.060.00000,0,"7,27%"
338,BRSR3,1496,574.0,74.0,0.0,"4,60%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","12,98%",312.17900,8.217.060.00000,0,"7,27%"
339,BBAS3,3245,577.0,89.0,0.0,"5,66%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","15,36%",563.712.00000,105.007.000.00000,0,"-3,18%"
340,BMEB4,1580,579.0,87.0,0.0,"4,34%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","14,96%",229.00700,955.021.00000,0,"6,84%"
341,BGIP4,2723,614.0,85.0,0.0,"2,88%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","13,79%",73.60160,491.540.00000,0,"12,76%"
342,BMEB3,1696,622.0,93.0,0.0,"3,68%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","14,96%",37.07030,955.021.00000,0,"6,84%"
343,ABCB4,1354,706.0,72.0,0.0,"4,80%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","10,23%",11.551.20000,4.093.300.00000,0,"2,77%"
344,BSLI4,9201,729.0,180.0,0.0,"6,24%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","24,62%",42330,1.860.250.00000,0,"22,11%"
345,BEES3,543,748.0,108.0,0.0,"4,93%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","14,49%",175.57200,1.583.940.00000,0,"9,35%"
346,SANB3,1357,773.0,137.0,0.0,"9,84%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","17,66%",2.535.20000,74.512.200.00000,0,"-9,13%"
347,CRIV3,527,775.0,56.0,0.0,"0,66%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","7,22%",33.58860,969.432.00000,0,"-3,02%"
348,BEES4,574,790.0,114.0,0.0,"4,67%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","14,49%",23.46680,1.583.940.00000,0,"9,35%"
349,SANB11,2840,809.0,143.0,0.0,"9,88%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","17,66%",87.247.80000,74.512.200.00000,0,"-9,13%"
350,BRSR5,2175,834.0,108.0,0.0,"3,37%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","12,98%",4.27956,8.217.060.00000,0,"7,27%"
351,BRGE12,609,836.0,37.0,12076.0,"0,00%",58,95.0,-103,-68.0,299,300,"-1.172,58%","227,65%",110,"-7,21%","4,38%",37.13900,1.224.080.00000,0,"4,52%"
352,SANB4,1494,851.0,150.0,0.0,"9,83%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","17,66%",2.637.81000,74.512.200.00000,0,"-9,13%"
